sku,stock
 FWS444BL,0
12ASIP20100,154
12ASIP201002PK,77
12ASIP201003PK,51
12ASIP20150,192
12ASIP201502PK,95
12ASIP201503PK,64
12ASIP20200,217
12ASIP202002PK,108
12ASIP202003PK,71
12ASIP20300,191
12ASIP203002PK,95
12ASIP203003PK,62
12ASIP2060,160
12ASIP20602PK,79
12ASIP20603PK,53
12AT36,0
12AT60,0
12BO100,915
12BO1002PK,457
12BO1003PK,304
12BO18,253
12BO182PK,126
12BO183PK,83
12BO185PK,50
12BO28,599
12BO282PK,299
12BO283PK,199
12BO48,479
12BO482PK,239
12BO483PK,159
12BO72,696
12BO722PK,348
12BO723PK,232
12CAT12,3
12CAT3,0
12DE2P10A,185
12DE2P10A2PK,92
12DE2P10A3PK,61
12DE2P10A5PK,36
12DE2P2A,3
12DE2P2A2PK,1
12DE2P2A3PK,1
12DE2P2A5PK,0
12DE2P5A,3
12DE2P5A2PK,1
12DE2P5A3PK,1
12DE2P5A5PK,0
12IP20100,235
12IP201002PK,117
12IP2012,328
12IP20120,365
12IP201202PK,182
12IP20122PK,163
12IP20130,0
12IP201302PK,0
12IP2015,439
12IP20150,342
12IP201502PK,170
12IP20152PK,219
12IP20160,0
12IP201602PK,0
12IP20180,509
12IP201802PK,254
12IP2020,0
12IP20200,377
12IP202002PK,188
12IP2024,293
12IP20240,318
12IP202402PK,159
12IP20242PK,146
12IP20250,180
12IP2030,146
12IP20300,169
12IP203002PK,84
12IP20302PK,72
12IP2036,272
12IP20360,9
12IP203602PK,4
12IP203603PK,3
12IP20362PK,135
12IP2040,324
12IP20400,163
12IP204002PK,81
12IP20402PK,161
12IP20450,0
12IP204502PK,0
12IP20480,482
12IP204802PK,240
12IP2050,0
12IP20500,78
12IP205002PK,39
12IP2060,218
12IP20600,72
12IP206002PK,35
12IP20602PK,109
12IP2072,55
12IP20720,69
12IP207202PK,34
12IP2080,509
12IP20802PK,254
12IP2096,0
12IP6710,939
12IP67100,473
12IP671002PK,236
12IP671003PK,157
12IP671004PK,117
12IP671005PK,94
12IP671008PK,58
12IP67100APK,47
12IP67102PK,469
12IP67103PK,312
12IP67104PK,234
12IP67105PK,187
12IP67108PK,116
12IP6710APK,93
12IP67120,61
12IP671202PK,30
12IP671204PK,15
12IP671205PK,12
12IP671208PK,7
12IP67120APK,6
12IP67120EPK,1
12IP67120OL2,100
12IP67120OL22PK,49
12IP6715,782
12IP67150,215
12IP671502PK,107
12IP671504PK,53
12IP671505PK,43
12IP671508PK,26
12IP67150APK,21
12IP67152PK,390
12IP67153PK,260
12IP67154PK,194
12IP67155PK,156
12IP67158PK,96
12IP6715APK,77
12IP6720,551
12IP67200,177
12IP672002PK,88
12IP672004PK,44
12IP672005PK,35
12IP672008PK,22
12IP67200APK,17
12IP67200OL3,252
12IP67202PK,275
12IP67203PK,182
12IP67204PK,137
12IP67205PK,109
12IP67208PK,68
12IP6720APK,54
12IP6724,522
12IP67242PK,261
12IP67243PK,173
12IP67245PK,104
12IP67250,115
12IP672502PK,57
12IP672504PK,28
12IP672505PK,23
12IP672508PK,14
12IP67250APK,11
12IP6730,370
12IP67300,180
12IP673002PK,89
12IP673004PK,44
12IP673005PK,36
12IP673008PK,22
12IP67300APK,17
