page_url,target_keyword,impressions,clicks,ctr_pct,avg_position
https://ledsone.co.uk/blogs/new/b22-bayonet-bulbs-explained-your-essential-led-buying-guide,b22 light bulb,26370,70,0.27,8.8
https://ledsone.co.uk/blogs/new/small-room-lighting-ideas-that-make-spaces-look-bigger,small lighting ideas,22135,3,0.01,7.8
https://ledsone.co.uk/collections/e27-base-bulb,e27 led bulb,20803,19,0.09,21.0
https://ledsone.co.uk/blogs/new/e27-bulb-guide,e27,20002,98,0.49,9.5
https://ledsone.co.uk/blogs/new/lighting-trends-2026-styles-and-ideas-for-your-home,lighting design ideas 2026,15458,13,0.08,7.6
https://ledsone.co.uk/collections/chandelier,chandeliers,13794,12,0.09,45.5
https://ledsone.co.uk/collections/wall-light,wall light,13495,16,0.12,29.5
https://ledsone.co.uk/collections/wire-connectors,cable connectors,12754,17,0.13,14.2
https://ledsone.co.uk/collections/led-bulbs,decorative light bulbs,11362,16,0.14,20.3
https://ledsone.co.uk/collections/vintage-bulbs,vintage light bulbs,11020,20,0.18,19.0
https://ledsone.co.uk/blogs/new/transformers-for-led-lighting-complete-guide,led transformer,9108,101,1.11,8.1
https://ledsone.co.uk/blogs/new/understanding-3-core-electrical-cables-types-uses-and-color-codes,3 core cable,8964,31,0.35,8.5
https://ledsone.co.uk/collections/plugin-lighting,plug in pendant light,8649,57,0.66,14.3
https://ledsone.co.uk/blogs/understanding-2-core-electrical-cable-the-essentials-1/understanding-2-core-electrical-cable-the-essentials,2 core cable,8074,38,0.47,6.9
https://ledsone.co.uk/blogs/new/how-many-lumens-do-i-need-a-room-by-room-uk-lighting-guide,how many lumens do i need for each room in the house,7862,72,0.92,5.8
https://ledsone.co.uk/collections/pendant-lights,ledsone,7601,35,0.46,23.3
https://ledsone.co.uk/collections/dimmable-led-bulbs,dimmable light bulbs,7576,2,0.03,26.7
https://ledsone.co.uk/collections/storage-bags,wardrobe storage,7269,0,0,33.8
https://ledsone.co.uk/blogs/new/how-to-wire-a-ceiling-rose-uk-guide,ceiling rose wiring,6959,58,0.83,7.6
https://ledsone.co.uk/collections/metal-holders,e27 socket,6940,15,0.22,12.3
https://ledsone.co.uk/collections/holder,lightbulb holder,6644,12,0.18,19.0
https://ledsone.co.uk/collections/lampshades,vintage lamp shades,6520,22,0.34,14.7
https://ledsone.co.uk/collections/mail-bags,mailing bags,6433,2,0.03,28.7
https://ledsone.co.uk/collections/ceiling-lights-for-flash-lights,flush ceiling lights,6412,5,0.08,43.0
https://ledsone.co.uk/collections/energy-saving-led-light-bulbs,energy saving light bulbs,6412,2,0.03,32.6
https://ledsone.co.uk/collections/kitchen-lights-for-over-table,kitchen pendant lighting,6211,4,0.06,37.9
https://ledsone.co.uk/collections/white-board,white board,6179,2,0.03,32.3
https://ledsone.co.uk/collections/glass-shade-lighting,glass light shades,5875,6,0.1,29.6
https://ledsone.co.uk/collections/bedroom-lighting,bedroom lighting,5298,2,0.04,38.9
https://ledsone.co.uk/blogs/new/led-light-bulbs-buying-guide,bulb types uk,4864,9,0.19,16.6
https://ledsone.co.uk/collections/e14-base-bulb,e14 bulb,4689,2,0.04,34.1
https://ledsone.co.uk/collections/outdoor-lights-with-sensor,outside lights with sensor,4251,5,0.12,38.9
https://ledsone.co.uk/collections/spider-light,spider light,4182,52,1.24,5.9
https://ledsone.co.uk/collections/chandeliers-lighting,hanging lights,4015,4,0.1,31.0
https://ledsone.co.uk/collections/dc-12v-transformer,12v transformer,3867,17,0.44,8.6
https://ledsone.co.uk/collections/hooks-and-rings,ceiling hooks,3839,21,0.55,14.8
https://ledsone.co.uk/collections/vintage-lighting,vintage lighting,3822,2,0.05,24.2
https://ledsone.co.uk/collections/weighing-scale,weight scale,3817,1,0.03,22.8
https://ledsone.co.uk/collections/vintage-fittings-for-pendant-lights,vintage ceiling lights,3801,5,0.13,23
https://ledsone.co.uk/collections/incandescent-bulbs,incandescent light bulb,3762,4,0.11,25.2
https://ledsone.co.uk/collections/laundry-bags,laundry bags,3633,3,0.08,26.9
https://ledsone.co.uk/collections/office-items,document storage,3630,2,0.06,31.6
https://ledsone.co.uk/collections/ceiling-lighting,ledsone uk,3599,13,0.36,23.9
https://ledsone.co.uk/blogs/new/warm-white-vs-cool-white-how-to-choose-the-right-light-bulbs,cool light bulb,3599,11,0.31,16.9
https://ledsone.co.uk/collections/led-panels,led panels,3469,1,0.03,55.2
https://ledsone.co.uk/collections/ceiling-rose-brackets,ceiling light bracket,3453,16,0.46,9.9
https://ledsone.co.uk/blogs/new/ultimate-guide-to-junction-boxes-types-uses-ip-ratings-installation,what amp junction box for sockets,3376,22,0.65,6.6
https://ledsone.co.uk/collections/shower-curtain,shower curtain,3281,1,0.03,39.5
https://ledsone.co.uk/collections/hemp-rope-lighting,rope lights,3236,16,0.49,12.7
https://ledsone.co.uk/collections/wall-lights-for-bedroom-lights/wall-lights-for-bedroom-lights,bedroom wall lights,3145,0,0,34.4
https://ledsone.co.uk/collections/clocks,living room clocks,2995,1,0.03,37.4
https://ledsone.co.uk/collections/pipe-lighting,steampunk lighting,2980,22,0.74,10.0
https://ledsone.co.uk/collections/wire-cage,cage lamp shade,2912,10,0.34,10.7
https://ledsone.co.uk/collections/dc-24v-transformer,24v transformer,2883,11,0.38,9.4
https://ledsone.co.uk/blogs/new/holder,lamp holder,2832,14,0.49,14.6
https://ledsone.co.uk/collections/conduit-lighting,conduit lighting,2731,57,2.09,9.0
https://ledsone.co.uk/blogs/new/how-to-choose-the-right-fabric-electrical-cable-a-complete-guide,should a two-core cable or a three-core cable be used for an electrical appliance made from metal?,2665,11,0.41,7.5
https://ledsone.co.uk/collections/indoor-wall-lamps,indoor wall lights,2662,3,0.11,42.2
https://ledsone.co.uk/blogs/new/bulb-holder-types-every-cap-fitting-explained-e27-b22-gu10-more,ceiling bulb holder types,2622,28,1.07,11.0
https://ledsone.co.uk/collections/switches,light switch,2619,3,0.11,27.1
https://ledsone.co.uk/collections/three-outlet-lighting,3 bulb ceiling light,2605,12,0.46,18.6
https://ledsone.co.uk/collections/rattan-lamp,wicker lamp shades,2562,0,0,40.8
https://ledsone.co.uk/collections/single-outlet-ceiling-rose,ceiling rose light fitting,2554,13,0.51,19.9
https://ledsone.co.uk/blogs/new/how-to-brighten-a-dark-corner-best-floor-lamps-table-lamps-wall-lighting-ideas,is it i need a floor lamp for a dark corner of my living room – where can i buy one?,2509,42,1.67,7.0
https://ledsone.co.uk/collections/vintage-cables,light cable wire,2411,9,0.37,17.4
https://ledsone.co.uk/blogs/new/easy-fit-ceiling-shades-tips,types of light shades,2395,24,1.0,7.5
https://ledsone.co.uk/collections/kitchen-lighting,industrial kitchen lighting,2365,6,0.25,36.8
