landing_page,sessions,active_users,engagement_rate,user_engagement_duration_sec,pages_per_session,purchase_revenue
/collections/spider-light,95,43,1,4538,2.3789473684210525,0
/collections/plugin-lighting,49,48,1,3852,2.6734693877551021,53.94
/collections/conduit-lighting,39,35,1,9194,8.0256410256410255,0
/collections/pendant-lights,37,28,1,6295,4.54054054054054,112
/collections/lampshades,28,25,1,1062,1.8571428571428572,0
/collections/pipe-lighting,27,26,1,3985,5,37.269999999999996
/collections/e27-base-bulb,23,21,1,1953,3.4782608695652173,49.160000000000004
/collections/hooks-and-rings,22,20,1,569,1.5454545454545454,0
/collections/wall-light,17,15,1,2433,6.9411764705882355,147.24
/collections/wire-connectors,17,17,1,733,1.8823529411764706,0
/collections/led-bulbs,16,13,1,902,2.75,0
/collections/vintage-bulbs,15,15,1,1736,2.7333333333333334,50.44
/collections/hooks-and-rings/hooks-and-rings,13,13,1,1486,3.3076923076923075,42.769999999999996
/collections/outdoor-wall-lights,13,13,1,442,2.1538461538461537,0
/collections/single-outlet-ceiling-rose,13,13,1,1339,3,0
/collections/wire-connectors-junction-box,13,5,1,347,2,0
/collections/2core-twisted,12,12,1,2263,3.8333333333333335,35.86
/collections/3core-twisted,12,12,1,350,1.8333333333333333,140.04
/collections/ceiling-rose-brackets,12,12,1,391,2.1666666666666665,0
/collections/dc-12v-transformer,12,12,1,1351,2.5,56.7
/collections/pendant-holder,12,10,1,252,2,0
/collections/pulley-wheel-pendant-light,12,12,1,652,2.5,0
/collections/vintage-cables,12,11,1,2870,3.5833333333333335,0
/collections/chandelier,11,9,1,1761,5.4545454545454541,0
/collections/hemp-collection,11,10,1,999,3,0
/collections/holder,11,11,1,323,1.4545454545454546,0
/collections/three-outlet-lighting,11,11,1,369,1.5454545454545454,0
/collections/vintage-lighting,10,6,1,1636,9.4,0
/collections/2core-round,9,8,1,631,3.2222222222222223,0
/collections/hemp-rope-lighting,9,9,1,769,4.1111111111111107,95.96
/collections/conduit-lamp-holder,8,7,1,949,4,0
/collections/dc-24v-transformer,8,8,1,269,2.125,53.8
/collections/easy-fit-lamp-shades-cages,8,8,1,287,2.25,0
/collections/easy-fit-shades,8,8,1,739,3.875,25.869999999999997
/collections/wire-cage,8,8,1,691,4.625,0
/collections/ceiling-lights-for-flash-lights,7,6,1,1249,5,0
/collections/led-modules,7,7,1,491,2.1428571428571428,0
/collections/metal-holders,7,6,1,718,3.8571428571428572,0
/collections/pipe-lighting-accessories,7,6,1,2178,3.8571428571428572,0
/collections/ceiling-lighting,6,6,1,892,5.833333333333333,0
/collections/conduit-lightings,6,6,1,1163,6.166666666666667,0
/collections/decorative-lighting-cable,6,6,1,779,5.166666666666667,22.47
/collections/kitchen-lights-for-over-table,6,6,1,599,3.5,0
/collections/lampshades/metal-pendant-light,6,6,1,123,1.5,0
/collections/latest-pendent-shade,6,5,1,516,2.5,0
/collections/pendant-lights?filter.p.m.custom.colour=Black,6,1,1,0,1.1666666666666667,0
/collections/rose-gold-lighting,6,6,1,707,5.333333333333333,0
/collections/b22-base-bulb,5,5,1,1328,8.2,0
/collections/bakelite-holders,5,5,1,406,3.4,0
/collections/glass-shade-lighting,5,5,1,152,1.6,0
/collections/hemp-rope-lights-any-rooms-offer,5,5,1,597,2.6,0
/collections/vintage-fittings-for-pendant-lights,5,5,1,1355,6.2,0
/collections/ceiling-roses,4,4,1,64,1,0
/collections/chandeliers-lighting,4,4,1,2223,11.75,0
/collections/conduit-accessories,4,3,1,1066,4.25,0
/collections/dc-5v-transformer,4,3,1,45,1,0
/collections/dimmable-led-bulbs,4,2,1,67,1.25,0
/collections/incandescent-bulbs,4,4,1,134,1.25,0
/collections/led-bulbs/products/tubular-filament-led-bulb?variant=44743172817146,4,1,1,0,1,0
/collections/living-or-dining-room-lighting,4,4,1,522,1.75,0
/collections/living-room-lighting,4,4,1,28,2,0
/collections/power-adapters,4,4,1,73,1.25,0
/collections/switches-and-sockets,4,4,1,302,2.5,0
/collections/top-ceiling-lights-fixtures-pendant-lighting,4,1,1,16,3,0
/collections/3core-round,3,2,1,89,2,0
/collections/all-ceiling-rose,3,3,1,25,1,0
/collections/cafe-restaurants,3,3,1,166,2.6666666666666665,0
/collections/ceramic-holders,3,3,1,682,5,0
/collections/conduit-wall-lights-industrial-pipe-wall-sconces,3,3,1,45,1.6666666666666667,0
/collections/constant-current-transformer,3,3,1,32,1.3333333333333333,0
/collections/easy-fit-lamp-shades,3,3,1,78,1.6666666666666667,0
/collections/electrician-essential-products-uk,3,2,1,82,3,0
/collections/energy-saving-led-light-bulbs,3,3,1,78,1.6666666666666667,0
/collections/glass-pendant-lights,3,2,1,60,2.3333333333333335,0
/collections/kitchen-lighting,3,3,1,422,5.333333333333333,0
/collections/lighting-collection,3,3,1,401,5,0
/collections/pipe-lighting/pipe-lighting-ideas,3,3,1,114,1.6666666666666667,0
/collections/plug-in-hanging-light,3,2,1,56,2,0
/collections/plug-in-hanging-light?sort_by=price-ascending,3,1,1,0,1.3333333333333333,0
/collections/plug-in-wall-light,3,3,1,127,2.3333333333333335,0
/collections/storage-bags,3,3,1,9,1,0
/collections/switches,3,3,1,67,1.3333333333333333,0
/collections/vendors?q=LEDSone,3,1,1,0,1.6666666666666667,0
/collections/vintage-bulbs/15-off,3,2,1,0,1,0
/collections/vintage-fabric-cables,3,3,1,169,1.6666666666666667,0
/collections/wire-cage-pendant-light,3,3,1,103,2,0
/collections/15-off-1,2,1,1,15,1.5,0
/collections/accessories,2,2,1,191,4,0
/collections/all-products,2,2,1,170,6.5,0
/collections/bedroom-lighting,2,2,1,15,1.5,0
/collections/cord-grip-and-hanging-chains,2,2,1,18,1,0
/collections/easy-fit-metal-shade,2,2,1,43,3,0
/collections/hooks-and-rings/accessories,2,2,1,645,3.5,0
/collections/indoor-wall-lamps,2,2,1,23,2,0
/collections/industrial-lighting-collection,2,2,1,503,1.5,0
/collections/ip67-waterproof-led-drivers,2,2,1,187,2,0
/collections/kitchen-lighting/pendant-lights,2,2,1,62,3,0
/collections/lampshades/lamp-shades,2,2,1,57,3,0
/collections/led-transformers,2,2,1,7,1,0
/collections/lighting-trends-2026,2,2,1,16,1.5,0
/collections/lights-parts/products/5-light-octopus-pendant-light-spider-lamp?variant=56371919716738&currency=GBP&keyword=&Content=Sonya,2,0,1,0,1,0
/collections/mail-bags,2,1,1,6,1.5,0
/collections/neon-flex,2,2,1,382,3,0
/collections/outdoor-lights-with-sensor,2,2,1,41,1.5,0
/collections/pool-table-lights,2,2,1,24,1,0
/collections/shop-lighting,2,1,1,11,1,0
/collections/waterproof-transformers,2,2,1,422,2.5,0
/collections/wire-connecter-with-ceiling-rose-brackets,2,2,1,96,2,0
/es/collections/dc-5v-transformer,2,2,1,35,1.5,0
/collections/2026-mega-lighting-sale,1,1,1,36,3,0
/collections/2core-round/products/2-core-round-red-white-vintage-italian-braided-fabric-cable-flex-0-75mm-uk-1,1,1,1,568,3,0
/collections/all,1,1,1,8,1,0
/collections/all-ceiling-rose?shpxid=4b66e805-7c83-419b-9972-74d8fa8daad4,1,1,1,7,1,0
/collections/all-products/products/dimmer-switch-2m-4m-4-5m-fabric-flex-cable-plug-in-pendant-lamp-light-set?variant=39325051158689,1,1,1,1013,30,0
/collections/all-transformers,1,1,1,0,1,0
/collections/all/ceiling-lights-for-office-lights,1,1,1,14,2,0
/collections/b22-base-bulb?page=2,1,1,1,300,7,0
/collections/bath-set,1,1,1,0,1,0
/collections/belt,1,1,1,82,3,0
/collections/best-deals?filter.p.m.custom.ampere_=20.83A&filter.p.m.custom.colour=Brown&filter.p.m.custom.colour=Galvanized&filter.p.m.custom.size=Dia%2F+32cm&filter.p.m.custom.size=Dia%2F+11cm,1,1,1,26,1,0
/collections/best-deals?filter.p.m.custom.ampere_=3.2A&filter.p.m.custom.ceilingrose_type=Square+Shape&filter.p.m.custom.lighting_outlet=3Outlet&filter.p.m.custom.model=Plug-in+Wall+Lights&filter.p.m.custom.size=235mm&filter.p.m.custom.wattage=250W,1,1,1,28,1,0
/collections/best-deals?filter.p.m.custom.ampere_=3.2A&filter.p.m.custom.core=Constant+Current&filter.p.m.custom.core=2+Core&filter.p.m.custom.size=100mm&filter.p.m.custom.size=Dia%2F+40cm,1,1,1,26,1,0
/collections/best-deals?filter.p.m.custom.ampere_=3.2A&filter.p.m.custom.model=Glass+Shade&filter.p.m.custom.model=G125&filter.p.m.custom.size=Dia%2F+13.5cm,1,1,1,25,1,0
/collections/best-deals?filter.p.m.custom.ampere_=3.3A&filter.p.m.custom.colour=Metalic+Silver&filter.p.m.custom.lighting_outlet=6+Outlet&filter.p.m.custom.model=Glass+Wall+Lights&filter.p.m.custom.wattage=15W&filter.p.m.custom.wattage=240W,1,1,1,26,1,0
/collections/best-deals?filter.p.m.custom.ampere_=3.75&filter.p.m.custom.ampere_=30A&filter.p.m.custom.core=Footwear&filter.p.m.custom.model=G4&filter.p.m.custom.size=Dia%2F+32cm&filter.p.m.custom.wattage=600W,1,1,1,25,1,0
/collections/best-deals?filter.p.m.custom.ampere_=30&filter.p.m.custom.bulb_shapes=Bottle+Shape&filter.p.m.custom.length=5M&filter.p.m.custom.style=Pendant+Holder&filter.p.m.custom.wattage=5W,1,1,1,25,1,0
/collections/best-deals?filter.p.m.custom.ampere_=33.3A&filter.p.m.custom.ampere_=0.83A&filter.p.m.custom.core=Floor+Mat&filter.p.m.custom.core=Saddles&filter.p.m.custom.lighting_outlet=3+Way,1,1,1,26,1,0
/collections/best-deals?filter.p.m.custom.ampere_=33.3A&filter.p.m.custom.bulb_shapes=Cone&filter.p.m.custom.colour=Brown&filter.p.m.custom.lighting_outlet=7+Outlet&filter.p.m.custom.size=16mm,1,1,1,26,1,0
/collections/best-deals?filter.p.m.custom.length=10m&filter.p.m.custom.model=T45&filter.p.m.custom.size=Dia%2F+36cm&filter.p.m.custom.size=65mm&filter.p.m.custom.wattage=18W,1,1,1,25,1,0
/collections/cage-pendant-light,1,1,1,60,4,0
/collections/catalog_others?filter.p.m.custom.ampere_=6A&filter.p.m.custom.bulb_shapes=Kegelvormige+schaduw&filter.p.m.custom.colour=Geborsteld+messing&filter.p.m.custom.size=Cage+height%3A+21cm&filter.p.m.custom.style=Pendant+Holder,1,1,1,26,1,0
/collections/catalog_others?filter.p.m.custom.bulb_shapes=Kegelvormige+schaduw&filter.p.m.custom.bulb_shapes=Cone+Shade&filter.p.m.custom.colour=Geborsteld+messing&filter.p.m.custom.colour=Crystal&filter.p.m.custom.core=B22&filter.p.m.custom.core=2+Core,1,1,1,27,1,0
/collections/catalog_others?filter.p.m.custom.bulb_shapes=Kegelvormige+schaduw&filter.p.m.custom.bulb_shapes=Vase+wire+cage+shape&filter.p.m.custom.colour=Geborsteld+messing&filter.p.m.custom.colour=Dark+Brown&filter.p.m.custom.core=B22&filter.p.m.custom.lamp_spares=Chain&filter.p.m.custom.model=D110&filter.p.m.custom.size=1m,1,1,1,26,1,0
/collections/catalog_others?filter.p.m.custom.bulb_shapes=Kegelvormige+schaduw&filter.p.m.custom.colour=Geborsteld+messing&filter.p.m.custom.colour=Amber&filter.p.m.custom.colour=Brown&filter.p.m.custom.core=B22&filter.p.m.custom.core=Lamp+Shade&filter.p.m.custom.lamp_spares=Chain&filter.p.m.custom.size=175mm&filter.p.m.custom.style=Hemp+rope+lights,1,1,1,26,1,0
/collections/catalog_others?filter.p.m.custom.bulb_shapes=Kegelvormige+schaduw&filter.p.m.custom.colour=Geborsteld+messing&filter.p.m.custom.colour=Amber&filter.p.m.custom.core=B22&filter.p.m.custom.core=Lamp+Shade&filter.p.m.custom.lamp_spares=Chain&filter.p.m.custom.lighting_outlet=3Outlet&filter.p.m.custom.size=1m&filter.p.m.custom.wattage=Max+60W,1,1,1,27,1,0
/collections/catalog_others?filter.p.m.custom.bulb_shapes=Kegelvormige+schaduw&filter.p.m.custom.colour=Geborsteld+messing&filter.p.m.custom.colour=Apricot&filter.p.m.custom.colour=Red&filter.p.m.custom.lamp_spares=Chain&filter.p.m.custom.style=Retro%2F+Vintage,1,1,1,26,1,0
/collections/catalog_others?filter.p.m.custom.bulb_shapes=Kegelvormige+schaduw&filter.p.m.custom.colour=Geborsteld+messing&filter.p.m.custom.colour=Brushed+Silver&filter.p.m.custom.core=B22&filter.p.m.custom.core=Light+Chain&filter.p.m.custom.size=110mm,1,1,1,26,1,0
/collections/catalog_others?filter.p.m.custom.bulb_shapes=Kegelvormige+schaduw&filter.p.m.custom.colour=Geborsteld+messing&filter.p.m.custom.core=B22&filter.p.m.custom.core=Light+Chain&filter.p.m.custom.core=Waterproof+Junction+Box&filter.p.m.custom.core=Swan+Neck&filter.p.m.custom.style=Retro%2F+Vintage,1,1,1,31,1,0
/collections/catalog_others?filter.p.m.custom.bulb_shapes=Kegelvormige+schaduw&filter.p.m.custom.colour=Geborsteld+messing&filter.p.m.custom.core=B22&filter.p.m.custom.holder_=Ceramic+Holders&filter.p.m.custom.size=Dia%2F14cm&filter.p.m.custom.wattage=10W,1,1,1,28,1,0
/collections/catalog_others?filter.p.m.custom.bulb_shapes=Kegelvormige+schaduw&filter.p.m.custom.colour=Geborsteld+messing&filter.p.m.custom.core=LED+Bulb&filter.p.m.custom.core=Cluster+Pendant+Light&filter.p.m.custom.lamp_spares=Chain&filter.p.m.custom.materials=Wood&filter.p.m.custom.size=125mm,1,1,1,26,1,0
