page_url,top_query,impressions
https://ledsone.co.uk/,ledsone,850
https://ledsone.co.uk/blogs/new,277v lighting,1
https://ledsone.co.uk/blogs/new/10-stylish-pendant-lights-for-a-modern-kitchen,modern kitchen pendant lights,31
https://ledsone.co.uk/blogs/new/2-core-round-electrical-cables-uses-safety,2 core lighting cable,77
https://ledsone.co.uk/blogs/new/3-core-round-fabric-electrical-cable-braided-flex-cable-for-lighting,braided lighting cable,34
https://ledsone.co.uk/blogs/new/3-pendant-lights-over-a-kitchen-island,3 lights over kitchen island,4
https://ledsone.co.uk/blogs/new/affordable-home-lighting-2025,living room lighting,284
https://ledsone.co.uk/blogs/new/b22-bayonet-bulbs-explained-your-essential-led-buying-guide,b22 light bulb,1606
https://ledsone.co.uk/blogs/new/best-heavy-duty-hanging-chains-for-plants-ceiling-lights-in-the-uk-1,chain for light hanging,3
https://ledsone.co.uk/blogs/new/best-light-bulbs-for-kitchen-lighting-2026,kitchen light bulbs,46
https://ledsone.co.uk/blogs/new/best-switches-and-sockets-in-the-uk-2026-buying-guide,best electrical socket brand uk,63
https://ledsone.co.uk/blogs/new/best-wall-lights-for-hallways-uk,hallway wall lights,55
https://ledsone.co.uk/blogs/new/biophilic-interior-lighting,biophilic lighting design,192
https://ledsone.co.uk/blogs/new/bulb-holder-types-every-cap-fitting-explained-e27-b22-gu10-more,ceiling bulb holder types,72
https://ledsone.co.uk/blogs/new/ceiling-lights-lighting-every-room-uk-2026,what are the latest trends in ceiling lighting fixtures?. my location is united kingdom.,15
https://ledsone.co.uk/blogs/new/christmas-lighting-trends-2025-styles-colours-smart-tech,christmas lights strand 2025,6
https://ledsone.co.uk/blogs/new/collections-large-wall-clocks,best wall clock,90
https://ledsone.co.uk/blogs/new/conduit-lighting-uk-exposed-pipe-interiors,exposed conduit lighting,45
https://ledsone.co.uk/blogs/new/conduit-lighting-uk-the-complete-buyers-guide-to-pipe-light-fittings-diy-systems-2026,conduit for lighting,9
https://ledsone.co.uk/blogs/new/dimmable-led-bulbs-uk-what-you-need-to-know-before-you-buy,dimmable led,37
https://ledsone.co.uk/blogs/new/dimmable-vs-non-dimmable-led-bulbs-which-one-do-you-actually-need,non-dimmable lamps,4
https://ledsone.co.uk/blogs/new/discover-the-perfect-gift-bags-for-every-occasion-in-the-uk,i want to upgrade from basic gift bags to something more premium for milestone family celebrations - what are the best high-quality gift boxes available in the uk that offer excellent value for money?,7
https://ledsone.co.uk/blogs/new/e27-bulb-guide,e27 bulb,1644
https://ledsone.co.uk/blogs/new/easter-sales-2026,easter sale 2026,1
https://ledsone.co.uk/blogs/new/easy-fit-ceiling-shades-tips,types of light shades,50
https://ledsone.co.uk/blogs/new/eco-friendly-led-bulbs-uk-save-energy-without-sacrificing-style,eco light bulbs,44
https://ledsone.co.uk/blogs/new/exploring-the-versatile-g80-bulb-from-vintage-charm-to-smart-home-integration,g80 lamp,1
https://ledsone.co.uk/blogs/new/getting-ready-for-the-holidays-the-ultimate-guide-to-led-christmas-lights,led christmas bulbs,5
https://ledsone.co.uk/blogs/new/guide-led-retrofit-lighting-uk-2026,retrofit lighting,9
https://ledsone.co.uk/blogs/new/guide-to-wall-amp-ceiling-lighting-2026,ceiling light,3
https://ledsone.co.uk/blogs/new/halloween-decoration-lighting-tips,halloween lights,41
https://ledsone.co.uk/blogs/new/handles-guide-black-cabinet-pulls,black and white handles,4
https://ledsone.co.uk/blogs/new/holder,lamp holder,83
https://ledsone.co.uk/blogs/new/how-energy-saving-light-bulbs-save-both-energy-and-money,save energy light bulb,37
