staff_name,department,store,shopify_product_id,shopify_product_gid,product_title,product_handle,product_url,product_status,variant_count,variant_ids,variant_gids,skus,collection_count,collection_ids,collection_handles,collection_titles,collection_urls,ownership_method,primary_source,source_updated_at,extracted_at,included_in_current_sales_scope,exclusion_reason
Kamsi,SEO,ledsone.co.uk,14798554268034,gid://shopify/Product/14798554268034,Yellow Brass,,,ACTIVE,8,MISSING_FROM_DB,MISSING_FROM_DB,PCMT20BM|PCMT20CH|PCMT20CO|PCMT20FG|PCMT20RO|PCMT20SN|PCMT20WH|PCMT20YB,1,647662076290,conduit-accessories,Conduit Accessories,https://ledsone.co.uk/collections/conduit-accessories,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14819408216450,gid://shopify/Product/14819408216450,T Connector,conduit-pipe-fittings-accessories-l-tee-bend-saddle-mount-nipple,https://ledsone.co.uk/products/conduit-pipe-fittings-accessories-l-tee-bend-saddle-mount-nipple,ACTIVE,6,MISSING_FROM_DB,MISSING_FROM_DB,PCBM20DS|PCBM20PCBM|PCBM25DSBM|PCFT90LBM|PCFT90TBM|PCGZ20NL,1,647662076290,conduit-accessories,Conduit Accessories,https://ledsone.co.uk/collections/conduit-accessories,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14821247418754,gid://shopify/Product/14821247418754,Yellow / 21cm,,,ACTIVE,6,MISSING_FROM_DB,MISSING_FROM_DB,WCPC170GR|WCPC170GY|WCPC170YE|WCPC210GR|WCPC210GY|WCPC210YE,1,665354469762,conduit-lightings,Conduit Lighting,https://ledsone.co.uk/collections/conduit-lightings,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14821912510850,gid://shopify/Product/14821912510850,Pack 3,,,ACTIVE,2,MISSING_FROM_DB,MISSING_FROM_DB,PCBS2FEBM|PCBS2FEBM3PK,1,647662076290,conduit-accessories,Conduit Accessories,https://ledsone.co.uk/collections/conduit-accessories,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14821925781890,gid://shopify/Product/14821925781890,Yellow Brass,m20-metric-male-to-female-thread-bush-reducing-conduit-pipe-connector,https://ledsone.co.uk/products/m20-metric-male-to-female-thread-bush-reducing-conduit-pipe-connector,ACTIVE,8,MISSING_FROM_DB,MISSING_FROM_DB,PCBSM2FBM|PCBSM2FCH|PCBSM2FCO|PCBSM2FFG|PCBSM2FRO|PCBSM2FSN|PCBSM2FWH|PCBSM2FYB,1,647662076290,conduit-accessories,Conduit Accessories,https://ledsone.co.uk/collections/conduit-accessories,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14822482411906,gid://shopify/Product/14822482411906,3 PACK,bush-fit-20mm-female-x-fit-3-4-male-reducing-bush-converter-conduit-fixture,https://ledsone.co.uk/products/bush-fit-20mm-female-x-fit-3-4-male-reducing-bush-converter-conduit-fixture,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,PCBSF2MCH|PCBSF2MCH2PK|PCBSF2MCH3PK,1,647662076290,conduit-accessories,Conduit Accessories,https://ledsone.co.uk/collections/conduit-accessories,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14823201898882,gid://shopify/Product/14823201898882,Yellow Brass,conduit-box-lid-20mm-center-hole-metal-switch-fitting-lid,https://ledsone.co.uk/products/conduit-box-lid-20mm-center-hole-metal-switch-fitting-lid,ACTIVE,4,MISSING_FROM_DB,MISSING_FROM_DB,PCFL20BM|PCFL20CO|PCFL20SN|PCFL20YB,1,647662076290,conduit-accessories,Conduit Accessories,https://ledsone.co.uk/collections/conduit-accessories,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14823229260162,gid://shopify/Product/14823229260162,Yellow Brass,20mm-conduit-dome-cover-conduit-fitting-20mm-nominal-size,https://ledsone.co.uk/products/20mm-conduit-dome-cover-conduit-fitting-20mm-nominal-size,ACTIVE,8,MISSING_FROM_DB,MISSING_FROM_DB,PCDO20BM|PCDO20CH|PCDO20CO|PCDO20FG|PCDO20RO|PCDO20SN|PCDO20WH|PCDO20YB,1,647662076290,conduit-accessories,Conduit Accessories,https://ledsone.co.uk/collections/conduit-accessories,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14846726799746,gid://shopify/Product/14846726799746,Yellow Brass,80mm-metal-rainproof-single-outlet-ceiling-rose-for-outdoor-use-weather-resistant,https://ledsone.co.uk/products/80mm-metal-rainproof-single-outlet-ceiling-rose-for-outdoor-use-weather-resistant,ACTIVE,8,MISSING_FROM_DB,MISSING_FROM_DB,CRSFR80BM|CRSFR80CH|CRSFR80CO|CRSFR80FG|CRSFR80RO|CRSFR80SN|CRSFR80WH|CRSFR80YB,1,158040916064,single-outlet-ceiling-rose,Ceiling Roses | Ceiling Rose Light Fitting,https://ledsone.co.uk/collections/single-outlet-ceiling-rose,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14848208535938,gid://shopify/Product/14848208535938,Yellow,fisherman-caged-conduit-pipe-light-shade-3-4-entry-wall-lantern-with-glass,https://ledsone.co.uk/products/fisherman-caged-conduit-pipe-light-shade-3-4-entry-wall-lantern-with-glass,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,WCPC220GR|WCPC220GY|WCPC220YE,1,665354469762,conduit-lightings,Conduit Lighting,https://ledsone.co.uk/collections/conduit-lightings,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14872904171906,gid://shopify/Product/14872904171906,95mm / 3,115mm-lighting-fixture-plate-bracket-fitting-accessories-set-5572,https://ledsone.co.uk/products/115mm-lighting-fixture-plate-bracket-fitting-accessories-set-5572,ACTIVE,2,MISSING_FROM_DB,MISSING_FROM_DB,CBSF95|CBSF953PK,1,159869501536,ceiling-rose-brackets,Ceiling Rose Brackets,https://ledsone.co.uk/collections/ceiling-rose-brackets,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:40,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14874199490946,gid://shopify/Product/14874199490946,Yellow Brass,e27-es-bulb-holder-threaded-lamp-fitting-20mm-conduit-pipe-ceiling-plate-socket,https://ledsone.co.uk/products/e27-es-bulb-holder-threaded-lamp-fitting-20mm-conduit-pipe-ceiling-plate-socket,ACTIVE,8,MISSING_FROM_DB,MISSING_FROM_DB,LHCTOBM|LHCTOCH|LHCTOCO|LHCTOFG|LHCTORO|LHCTOSN|LHCTOWH|LHCTOYB,1,647662338434,conduit-lamp-holder,Conduit  Lamp Holder,https://ledsone.co.uk/collections/conduit-lamp-holder,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:42,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14874202472834,gid://shopify/Product/14874202472834,Yes,conduit-pipe-wall-light-vintage-industrial-indoor-e27-lamp-fitting-for-indoor-use-1,https://ledsone.co.uk/products/conduit-pipe-wall-light-vintage-industrial-indoor-e27-lamp-fitting-for-indoor-use-1,ACTIVE,2,MISSING_FROM_DB,MISSING_FROM_DB,ENC7859|ENC7860,1,665354469762,conduit-lightings,Conduit Lighting,https://ledsone.co.uk/collections/conduit-lightings,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14875756790146,gid://shopify/Product/14875756790146,6 way,,,ACTIVE,5,MISSING_FROM_DB,MISSING_FROM_DB,WJBIP683BM|WJBIP684BM|WJBIP685BM|WJBIP686BM|WJBSQIP683BM,1,665480921474,wire-connectors-junction-box,Wire Connectors & Junction Box,https://ledsone.co.uk/collections/wire-connectors-junction-box,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14875761344898,gid://shopify/Product/14875761344898,4 way,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,WJBIP68T12BM|WJBIP68T13BM|WJBIP68T14BM,1,665480921474,wire-connectors-junction-box,Wire Connectors & Junction Box,https://ledsone.co.uk/collections/wire-connectors-junction-box,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:41,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14877081502082,gid://shopify/Product/14877081502082,2,led-driver-constant-current-48w-ac-85-265v-power-supply-dc-45-65v-5603,https://ledsone.co.uk/products/led-driver-constant-current-48w-ac-85-265v-power-supply-dc-45-65v-5603,ACTIVE,2,MISSING_FROM_DB,MISSING_FROM_DB,CCGNNWE48|CCGNNWE482PK,1,158110220384,constant-current-transformer,Constant Current Transformer,https://ledsone.co.uk/collections/constant-current-transformer,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:40,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14877120692610,gid://shopify/Product/14877120692610,PG 19,,,ACTIVE,2,MISSING_FROM_DB,MISSING_FROM_DB,COPG135WH|COPG19WH,1,665480921474,wire-connectors-junction-box,Wire Connectors & Junction Box,https://ledsone.co.uk/collections/wire-connectors-junction-box,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:39,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14877123543426,gid://shopify/Product/14877123543426,Blue,,,ACTIVE,2,MISSING_FROM_DB,MISSING_FROM_DB,COI9BBL|COI9BBM,1,665480921474,wire-connectors-junction-box,Wire Connectors & Junction Box,https://ledsone.co.uk/collections/wire-connectors-junction-box,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:37,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14877932093826,gid://shopify/Product/14877932093826,8W,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,LDMST64E274|LDMST64E276|LDMST64E278,3,394336076026|159254904928|159254806624,dimmable-led-bulbs|led-bulbs|vintage-bulbs,Dimmable LED Bulbs|LED Bulbs - Energy-Saving Lights|Vintage LED Light Bulbs,https://ledsone.co.uk/collections/dimmable-led-bulbs|https://ledsone.co.uk/collections/led-bulbs|https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14877939368322,gid://shopify/Product/14877939368322,E27,,,ACTIVE,2,MISSING_FROM_DB,MISSING_FROM_DB,LDMT185B224|LDMT185E274,1,159254806624,vintage-bulbs,Vintage LED Light Bulbs,https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:30,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14877941760386,gid://shopify/Product/14877941760386,E27,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,LDMT45E274,3,394336076026|159254904928|159254806624,dimmable-led-bulbs|led-bulbs|vintage-bulbs,Dimmable LED Bulbs|LED Bulbs - Energy-Saving Lights|Vintage LED Light Bulbs,https://ledsone.co.uk/collections/dimmable-led-bulbs|https://ledsone.co.uk/collections/led-bulbs|https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,14877951099266,gid://shopify/Product/14877951099266,Star Bulb,,,ACTIVE,5,MISSING_FROM_DB,MISSING_FROM_DB,LDSG125LOE274|LDSG125MUE274|LDSG95DIE274|LDSHEAE274|LDSSTRE274,2,159254904928|394336108794,led-bulbs|non-dimmable-led-bulbs,LED Bulbs - Energy-Saving Lights|Non Dimmable LED Bulbs,https://ledsone.co.uk/collections/led-bulbs|https://ledsone.co.uk/collections/non-dimmable-led-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
