landing_page,sessions,active_users,engagement_rate,user_engagement_duration_sec,pages_per_session,purchase_revenue
(not set),486,297,0.078189300411522639,4060,0,33.58
/,476,318,1,89609,6.1449579831932777,1721.23
/collections/spider-light,109,45,1,5477,2.5321100917431192,0
/blogs/new/e27-bulb-guide,92,86,1,7447,1.5326086956521738,0
/blogs/new/how-many-lumens-do-i-need-a-room-by-room-uk-lighting-guide,75,67,1,4968,1.0933333333333333,0
/blogs/new/b22-bayonet-bulbs-explained-your-essential-led-buying-guide,65,61,1,3535,1.6307692307692307,93.24
/blogs/new/how-to-wire-a-ceiling-rose-uk-guide,57,56,1,3947,1.0877192982456141,0
/blogs/new/transformers-for-led-lighting-complete-guide,54,51,1,2735,1.3148148148148149,0
/collections/plugin-lighting,45,44,1,3104,2.3111111111111109,53.94
/collections/conduit-lighting,44,40,1,11996,8.6818181818181817,0
/collections/pendant-lights,41,32,1,10443,7.6341463414634143,112
/blogs/new/how-to-brighten-a-dark-corner-best-floor-lamps-table-lamps-wall-lighting-ideas,39,35,1,1026,1.0769230769230769,0
/products/e14-salt-lamp-cord-2m-with-switch-6188?variant=55516961014146,38,1,1,43,1.131578947368421,0
/blogs/new/ultimate-guide-to-junction-boxes-types-uses-ip-ratings-installation,34,28,1,5630,1.6470588235294117,0
/blogs/understanding-2-core-electrical-cable-the-essentials-1/understanding-2-core-electrical-cable-the-essentials,32,32,1,1494,1.21875,0
/blogs/new/bulb-holder-types-every-cap-fitting-explained-e27-b22-gu10-more,31,26,1,1523,1.1290322580645162,0
/pages/pi,30,29,1,729,1.3666666666666667,0
,29,13,0.31034482758620691,131,0,0
/blogs/new/in-depth-guide-to-the-essential-components-of-the-20mm-conduit-lighting-system,27,25,1,4257,4.333333333333333,0
/collections/pipe-lighting,27,23,1,3619,4.4444444444444446,37.269999999999996
/blogs/new/wall-lighting-ideas-living-room,26,24,1,3074,2.2307692307692308,0
/products/led-up-down-wall-light-motion-detector-indoor-outdoor-wall-lights,26,25,1,1378,1.7307692307692308,69.96
/blogs/new/easy-fit-ceiling-shades-tips,25,25,1,1149,1.08,0
/products/industrial-steampunk-pipe-lighting-fixture?variant=55734510485890,25,2,1,0,1.04,0
/collections/e27-base-bulb,24,21,1,2623,3.25,28.490000000000002
/blogs/new/best-switches-and-sockets-in-the-uk-2026-buying-guide,23,23,1,1522,1.9130434782608696,0
/blogs/new/understanding-3-core-electrical-cables-types-uses-and-color-codes,23,21,1,1137,1.9130434782608696,0
/collections/wall-light,22,19,1,2589,6.0909090909090908,147.24
/pages/lighting-installation-accessories,22,22,1,853,1.5,0
/products/8-12w-300ma-dc-25-45v-compact-constant-current-led-driver,22,21,1,944,1.3181818181818181,0
/blogs/new/kitchen-lighting-trends-2026,20,20,1,998,1.95,0
/collections/lampshades,20,17,1,925,2.15,0
