handle,sessions_total_incl_variants,sessions_exact_url
conduit-lighting,1228,1218
lampshades,1135,976
plugin-lighting,928,911
spider-light,833,800
e27-base-bulb,795,766
pendant-lights,550,436
vintage-bulbs,534,483
pipe-lighting,508,450
hooks-and-rings,473,350
led-bulbs,458,424
holder,455,447
hemp-rope-lighting,408,392
single-outlet-ceiling-rose,385,359
ceiling-rose-brackets,370,367
three-outlet-lighting,340,338
wire-connectors,326,326
2core-twisted,254,250
kitchen-lights-for-over-table,254,249
wall-light,238,204
vintage-cables,222,210
wire-cage,210,171
pendant-holder,182,173
chandelier,182,170
easy-fit-shades,174,152
led-transformers,166,157
metal-holders,164,154
pipe-lighting-accessories,154,143
easy-fit-lamp-shades-cages,145,144
vintage-lighting,143,141
dc-12v-transformer,142,136
wire-cage-pendant-light,140,134
hemp-collection,136,135
ceiling-roses,132,116
ceiling-lights-for-flash-lights,131,122
2core-round,126,124
dc-24v-transformer,123,123
3core-twisted,118,113
ceiling-lighting,118,86
kitchen-lighting,109,65
bsell-06,102,3
cord-grip-and-hanging-chains,101,99
bedroom-lighting,97,94
laundry-bags,94,94
rose-gold-lighting,94,71
switches,92,92
latest-pendent-shade,92,80
black-friday-50-off,91,89
dc-5v-transformer,89,89
vintage-fittings-for-pendant-lights,86,85
power-adapters,84,83
glass-shade-lighting,83,83
conduit-lamp-holder,82,80
incandescent-bulbs,77,75
easy-fit-metal-shade,76,74
wire-connecter-with-ceiling-rose-brackets,74,74
bakelite-holders,69,68
all,69,60
wire-connectors-junction-box,68,66
lights-parts,68,3
clocks,67,63
table-lamps,62,53
bath-set,61,61
wall-lights-for-bedroom-lights,61,39
led-panels,60,57
cafe-restaurants,60,56
living-or-dining-room-lighting,59,51
storage-bags,58,58
office-items,57,56
outdoor-wall-lights,57,56
b22-base-bulb,57,48
premium-lighting,57,17
waterproof-transformers,56,52
shower-curtain,55,55
conduit-lightings,54,51
wall-lights-for-cafe-restaurant,52,51
switches-and-sockets,50,50
pulley-wheel-pendant-light,50,49
dimmable-led-bulbs,48,41
plug-in-wall-light,47,47
power-adapter-with-neon-flex-sales,47,47
vintage-fabric-cables,47,47
conduit-accessories,47,46
energy-saving-led-light-bulbs,45,45
led-modules,45,45
mail-bags,45,45
door-mat,41,41
multi-outlet-lighting,41,38
3core-round,40,40
e14-base-bulb,40,37
ceiling-lights-for-panel-lights,38,38
warm-white-vintage-bulbs,37,36
switch-wall-light,36,36
all-products-1,34,0
15-off-1,31,31
white-board,31,31
e27-led-bulbs,31,30
chandeliers-lighting,31,29
all-ceiling-rose,30,29
spider-light-accessories,30,29
indoor-wall-lamps,30,26
conduit-wall-lights-industrial-pipe-wall-sconces,29,29
lamp-spare-parts-sales,29,28
rattan-lamp,28,27
christmas-deals-2025,27,18
cage-pendant-light,26,10
3-head-rectangle-or-round-ceiling-rose,25,25
diy-tools,25,25
glass-lights-for-cafe-restaurant,25,25
hemp-rope-lights-any-rooms-offer,24,24
ceiling-lights-for-kitchen-lights,23,23
handles,23,22
constant-current-transformer,23,19
weighing-scale,22,22
non-dimmable-led-bulbs,21,21
ceiling-light-living-room,20,20
ceramic-holders,20,20
best-deals,20,2
bath-products,19,19
glass-wall-lights,19,19
lighting-trends-2026,19,19
b22-led-bulbs,19,18
constant-voltage-transformer,19,18
artificial-flower-pots,18,18
vintage-lights-for-kitchen-lights,18,17
multi-outlet-lighting-deals,18,16
vendor-products-shade-batch-3,18,16
modern-lighting,18,15
ceiling-lights-for-office-lights,17,15
all-products,17,14
catalog_others,17,5
decorative-lighting-cable,16,16
glass-pendant-lights,16,16
lighting-shades,16,16
slim-transfomers,16,16
accessories,15,10
pool-table-lights,14,14
glow-mode-on-1,14,13
ceiling-lights-for-bedroom-lights,14,12
vendor-products-ceiling-rose-fitting-batch-3,13,11
top-accessories,13,1
clear-bag,12,12
home-office-lighting,12,12
ceiling-pipe-lights,12,11
spider-lights-for-cafe-restaurant,12,11
luxury-lighting-collection,12,10
recommended-products-seguno,12,0
e27-b22-globe-bulb,11,11
lampshade-e27-b22,11,11
top-ceiling-lights-fixtures-pendant-lighting,11,11
weekly-promotion,11,11
save-big-at-our-clearance-event,11,8
electrician-essential-products-uk,10,10
hemp-rope-lights-for-cafe-restaurant,10,10
glow-up-collection,10,9
industrial-vintage-lighting,10,6
belt,9,9
easy-fit-lamp-shades,9,9
indoor-lighting,9,6
vendors,9,0
all-transformers,8,8
lamp-spares-1,8,8
neon-flex,8,8
shade-ring,8,8
wholesale-lampshade,8,8
modern-energy-efficient-pendant-ceiling-wall-lighting-uk,8,7
radiant-illumination,8,5
plug-in-hanging-light,8,4
new-arrivals,8,1
electric-cable,7,7
kitchen-items,7,7
ninc-products,7,7
swan-neck-wall-lights,7,7
wall-lights-for-pipe-lights,7,7
all_products,7,6
dc-12v-driver,7,6
wall-lights-for-living-room-lights,7,6
lamp-spares,7,4
luminous-deals-glow-up-your-savings,7,4
batton-aluminium-lightings,6,6
ceilingrose-hook-plate,6,6
green-day-lighting,6,6
wall-lights-for-wood-lights,6,6
best-sellers,6,5
bulbs,6,5
catalog_transformers,6,0
refurbished-products,6,5
new-collection,6,0
black-friday-mega-sale,5,5
hooks-and-rings#choosing,5,5
industrial-lighting-collection,5,5
light-up-your-bank-holiday-special-offers,5,5
lighting-collection,5,5
luminous-deals,5,5
outdoor-lights-with-sensor,5,5
pipe-lights-for-kitchen-lights,5,5
wall-lights-for-home-office-lights,5,5
chandelier-type-ceiling-lights,5,4
clearance-sales,5,4
living-room-lighting,5,4
top-deals,5,4
easy-fit-wire-cage,4,4
illuminate-your-space-the-ultimate-light-collection,4,4
lighting-set,4,4
tiffany-pendant-lights,4,4
hemp-rope-lighting-deals,4,3
office-lighting,4,1
sales,4,3
best-offers-products,4,1
cable-tie,3,3
foot-wear,3,3
indoor-led-lights,3,3
ip67-waterproof-led-drivers,3,3
masonry-screws-anchors,3,3
morandi-pendant-light,3,3
premium-wall-lights-collection-uk,3,3
shop-lighting,3,3
summer-lighting-trends,3,3
top-selling-lighting-product,3,3
value-light,3,3
wall-lamp-collection-at-affordable-prices,3,3
catalog_lampshades,3,1
hot-picks,3,2
pipe-light-sales,3,0
retro-vintage-pendant-collection,3,2
sale,3,2
home-lighting-collection,3,1
led-lightings,3,1
2026-mega-lighting-sale,2,2
brushed-lighting,2,0
ceiling-spotlights,2,2
conduit-lid-14mm-people-also-bought,2,2
conduit-pipe,2,2
custom-products,2,2
diy-lighting-new,2,2
e14-bulb-holder,2,2
e14-candle-bulb,2,2
fitting-items,2,2
google-ads,2,2
halloween-specials-2025,2,2
home-lighting,2,2
hot-selling-products,2,2
ip20-led-power-supplies-1,2,2
lighting-kit-parts,2,2
new-offer-sale,2,2
power-supply,2,2
promotions,2,2
stylish-bedroom-lights-uk,2,2
summer-bank-holiday,2,2
tapes,2,2
twin-wall-light,2,2
led-drivers-led-modules,2,1
patten-shade-lighting,2,1
20mm-system,1,1
3-bulb-pendant-light,1,0
30-off,1,1
bathroom-accessories,1,1
best-deals-wall-light-indoor-outdoor,1,1
black-friday-pendant-holder,1,1
black-pipe-fittings-tubing,1,1
bselltm,1,1
ceiling-flash-lights-off,1,1
ceiling-rose-fittings,1,1
celing-rosre-b,1,1
commercial-lighting-for-restaurants-uk,1,1
conduit-3-4-inch-system,1,0
decking-tiles,1,1
dimmable-led-bulbssofa roll cushions,1,1
electrical-cables-wires,1,1
electrical-lighting,1,0
elegant-lighting-collection,1,1
energy-efficient-lighting,1,1
energy-efficient-lighting-collection-modern,1,1
exclusive-new-trend,1,0
fast-slow,1,0
flash-sale-up-to-70-off-1,1,1
gift-bags,1,1
home-improvement-products,1,1
hooks-and-rings#faq,1,1
industrial,1,1
industrial-lighting,1,1
industrial-vintage-l...,1,1
ip45-rainproof-led-drivers,1,1
junction-box,1,1
lampshade-easy-to-fit,1,0
led-lighting,1,0
led-modules-transformers,1,1
led-pixel-lights-and-accessory,1,1
led-strip-lights,1,1
lighting-accessories,1,1
limited-time-lighting-sale,1,1
low-wattage-bulbs,1,1
modern-classic-home,1,1
modern-lighting-off,1,0
new-products,1,1
pack-products,1,0
packing-items,1,1
pattern-shade,1,0
pendant-lightss,1,1
pendent_light_one,1,1
ph-products,1,1
pipe-lights-for-cafe-restaurant,1,0
plug-in-pendant-light,1,1
pre-black-friday-deals,1,1
premium-lighting-products,1,1
single-pendant-light,1,1
steampunk-wall-lights,1,1
stylish-lights,1,1
switch-with-accessories,1,1
test-pipe-light-accessories-1,1,1
top-sell-ads,1,1
transformers,1,0
types,1,0
vintage-cables-off,1,1
vintage-fitting-best-offer,1,0
wall-light-any-room-sales,1,1
wall-light-components,1,1
