handle,source_url,backlinks_num,domains_num
electrician-essential-products-uk,https://ledsone.co.uk/collections/electrician-essential-products-uk,278,1
pendant-lights,https://ledsone.co.uk/collections/pendant-lights,202,4
conduit-lightings,https://ledsone.co.uk/collections/conduit-lightings,163,1
metal-holders,https://ledsone.co.uk/collections/metal-holders,82,8
led-bulbs,https://ledsone.co.uk/collections/led-bulbs,78,4
handles,https://ledsone.co.uk/collections/handles,74,18
3core-round,https://ledsone.co.uk/collections/3core-round,73,7
3core-twisted,https://ledsone.co.uk/collections/3core-twisted,63,7
2core-round,https://ledsone.co.uk/collections/2core-round,62,7
e27-base-bulb,https://ledsone.co.uk/collections/e27-base-bulb,58,8
holder,https://ledsone.co.uk/collections/holder,54,1
wall-light,https://ledsone.co.uk/collections/wall-light,48,7
2core-twisted,https://ledsone.co.uk/collections/2core-twisted,47,8
artificial-flower-pots,https://ledsone.co.uk/collections/artificial-flower-pots,44,12
wire-cage,https://ledsone.co.uk/collections/wire-cage,40,1
incandescent-bulbs,https://ledsone.co.uk/collections/incandescent-bulbs,36,2
ceiling-lighting,https://ledsone.co.uk/collections/ceiling-lighting,31,10
ceiling-lights-for-flash-lights,https://ledsone.co.uk/collections/ceiling-lights-for-flash-lights,30,3
modern-lighting,https://ledsone.co.uk/collections/modern-lighting,29,4
indoor-lighting,https://ledsone.co.uk/collections/indoor-lighting,27,3
dc-12v-transformer,https://ledsone.co.uk/collections/dc-12v-transformer,25,1
plugin-lighting,https://ledsone.co.uk/collections/plugin-lighting,24,4
ceiling-rose-brackets,https://ledsone.co.uk/collections/ceiling-rose-brackets,23,3
chandelier,https://ledsone.co.uk/collections/chandelier,22,5
ceiling-lights-for-kitchen-lights,https://ledsone.co.uk/collections/ceiling-lights-for-kitchen-lights,20,4
clocks,https://ledsone.co.uk/collections/clocks,20,7
kitchen-lighting,https://ledsone.co.uk/collections/kitchen-lighting,20,2
living-or-dining-room-lighting,https://ledsone.co.uk/collections/living-or-dining-room-lighting,20,2
accessories,https://ledsone.co.uk/collections/accessories,16,1
dc-5v-transformer,https://ledsone.co.uk/collections/dc-5v-transformer,15,1
foot-wear,https://ledsone.co.uk/collections/foot-wear,15,5
waterproof-transformers,https://ledsone.co.uk/collections/waterproof-transformers,15,3
vintage-lighting,https://ledsone.co.uk/collections/vintage-lighting,14,1
kitchen-items,https://ledsone.co.uk/collections/kitchen-items,13,7
bedroom-lighting,https://ledsone.co.uk/collections/bedroom-lighting,11,2
table-lamps,https://ledsone.co.uk/collections/table-lamps,10,3
multi-outlet-lighting,https://ledsone.co.uk/collections/multi-outlet-lighting,9,4
ceiling-light-living-room,https://ledsone.co.uk/collections/ceiling-light-living-room,8,2
slim-transfomers,https://ledsone.co.uk/collections/slim-transfomers,8,2
vintage-bulbs,https://ledsone.co.uk/collections/vintage-bulbs,8,4
ceramic-holders,https://ledsone.co.uk/collections/ceramic-holders,7,4
office-items,https://ledsone.co.uk/collections/office-items,7,1
switches-and-sockets,https://ledsone.co.uk/collections/switches-and-sockets,7,3
dc-24v-transformer,https://ledsone.co.uk/collections/dc-24v-transformer,6,1
bath-set,https://ledsone.co.uk/collections/bath-set,5,1
easy-fit-shades,https://ledsone.co.uk/collections/easy-fit-shades,4,3
wall-lighting,https://ledsone.co.uk/collections/wall-lighting,4,3
belt,https://ledsone.co.uk/collections/belt,3,2
cord-grip-and-hanging-chains,https://ledsone.co.uk/collections/cord-grip-and-hanging-chains,3,2
led-modules,https://ledsone.co.uk/collections/led-modules,3,2
pipe-lighting,https://ledsone.co.uk/collections/pipe-lighting,3,2
spider-light,https://ledsone.co.uk/collections/spider-light,3,2
table-lighting,https://ledsone.co.uk/collections/table-lighting,3,1
all-transformers,https://ledsone.co.uk/collections/all-transformers,2,1
door-mat,https://ledsone.co.uk/collections/door-mat,2,2
lampshades,https://ledsone.co.uk/collections/lampshades,2,1
pendant-holder,https://ledsone.co.uk/collections/pendant-holder,2,2
storage-bags,https://ledsone.co.uk/collections/storage-bags,2,2
transformers,https://ledsone.co.uk/collections/transformers,2,2
vintage-cables-1,https://ledsone.co.uk/collections/vintage-cables-1,2,1
easy-fit-metal-shade,https://ledsone.co.uk/collections/easy-fit-metal-shade,1,1
glass-pendant-lights,https://ledsone.co.uk/collections/glass-pendant-lights,1,1
hemp-rope-lighting,https://ledsone.co.uk/collections/hemp-rope-lighting,1,1
laundry-bags,https://ledsone.co.uk/collections/laundry-bags,1,1
pipe-lighting-accessories,https://ledsone.co.uk/collections/pipe-lighting-accessories,1,1
vintage-fabric-cables,https://ledsone.co.uk/collections/vintage-fabric-cables,1,1
belt,http://ledsone.co.uk/collections/belt,0,0
best-products-24-s,http://ledsone.co.uk/collections/best-products-24-s,0,0
ceiling-lights-for-flash-lights,http://ledsone.co.uk/collections/ceiling-lights-for-flash-lights,0,0
