collection_handle,product_count
for-shopify-performance-tracking,5179
all-products-1,5175
new-arrivals,4020
all-products,4020
top-products,4020
recommended-products-seguno,4019
new-collection,4019
globofilter-best-selling-products-index,4019
avada-email-marketing-best-sellers,4019
all_products,4019
catalog_others,3445
under-25,3417
capture-15-offer-if-you-order-more-than-50-quantity,2968
sale,2274
best-offers-products,2274
best-deals,2221
modern-home-lights,1724
industrial-lighting,1448
modern-energy-efficient-pendant-ceiling-wall-lighting-uk,1441
shop-lighting,1109
hot-picks,1090
best-sellers,1002
pendant-lights,845
glow-mode-on-1,786
premium-lighting,786
shining-radiance,782
uk-express-delivery,674
commercial-lighting-for-restaurants-uk,550
luxury-lighting-collection,542
modern-radiant-lighting,533
lighting-accessories,532
lights-parts,523
free-uk-shipping,508
catalog_lampshades,452
stylish-lighting-fixtures,437
value-light,437
modern-shine-lighting,430
bsell-06,384
top-accessories,344
ph-products,326
industrial-lighting-collection,299
radiant-illumination,291
vendor-products-cable-batch-3,288
industrial-vintage-lighting,284
stylish-bedroom-lights-uk,283
top-sell-2021,279
home-lighting-sale-uk,251
luminous-deals-glow-up-your-savings,237
lampshades,234
ninc-products,233
seasonal-clearance,228
wall-light,228
vendor-products-wall-light-batch-3,228
living-room-lighting,222
electrical-lighting,221
pendant-lightss,213
modern-classic-home,206
top-ceiling-lights-fixtures-pendant-lighting,206
trendy-stylish-lighting,202
modern-lights,202
new-year-sale,192
bank-holiday-special-off,177
bselltm,172
luminous-deals,170
sales,160
indoor-wall-lamps,160
power-supply,159
home-and-garden,159
summer-bank-holiday,151
vintage-cables,150
semi-flush-lighting,143
wire-cage-pendant-light,125
cage-pendant-light,125
easy-fit-shades,123
catalog_transformers,122
led-drivers-led-modules,121
free-shipping,121
elegant-collectives,119
lighting-products,118
ceiling-lighting,117
seasonal-clearance-1,115
pendant-holder,112
best-products-24-s,111
transformers,111
ceiling-lights-for-flash-lights,110
3-bulb-pendant-light,108
latest-pendent-shade,100
seasonal-promotion-limited-time,100
led-bulbs,96
top-sellers-best-industrial-lighting,96
led-transformers,92
new-product-off,92
multi-outlet-lighting,89
metal-holders,89
modern-stylish-lights-for-every-room,88
top-picks,87
all-transformers,87
bulbs,85
wall-lights-for-home-office-lights,85
fast-moving-product,84
config-single-pendant,83
black-friday-mega-sale,82
cyber-monday-mega-sale,82
new-year-deals-2026,82
vintage-fabric-cables,81
accessories,81
offer-deals,81
premium-lighting-products,80
ceiling-lights-for-office-lights,80
kitchen-lights-for-over-table,79
vendor-products-ceiling-rose-fitting-batch-3,79
vintage-lighting,79
most-popular-trending-products,78
lighting-trends-2026,78
holder,77
lamp-spares-1,76
brushed-lighting,76
vintage-cables-off,75
indoor-lighting,75
office-lighting,75
top-deals,74
lighting-kit-parts,74
lighting-collection,73
single-pendant-light,73
vendor-products-batch-3,72
hemp-collection,72
vintage-lights-for-kitchen-lights,71
dc-12v-driver,71
electrical-cable-connectors,71
vintage-bulbs,69
20-off,69
bedroom-lighting,68
limited-time-lighting-sale,68
test-pipe-light-accessories-1,67
test-pipe-light-accessories,67
home-improvement-products,67
e27-base-bulb,66
lighting-shades,65
e27-led-bulbs,63
constant-voltage-transformer,63
top-selling-pendant-lights-collection,63
micro-ceiling-rose-multy-outlet,63
save-big-at-our-clearance-event,62
multi-outlet-lighting-deals,62
vintage-fittings-for-pendant-lights,62
conduit-lighting,61
warm-white-vintage-bulbs,59
wall-lights-for-bedroom-lights,59
slow-moving,58
spider-light,57
swan-neck-wall-lights,57
electrical-cables-wires,56
lamp-spares,55
easy-fit-lamp-shades,54
50-orders,54
dc-12v-transformer,54
slow-move,54
new-transformer-optimize,54
vendor-products-shade-batch-3,54
best-deals-wall-light-indoor-outdoor,54
wall-light-buy-2-get-10-off,54
modern-lighting,53
modern-lighting-off,53
kitchen-lighting,52
ceiling-lights-for-kitchen-lights,52
glow-up-collection,52
illuminate-your-space-the-ultimate-light-collection,51
wall-lights-sconces,51
ip20-led-power-supplies,50
ip20-led-power-supplies-1,50
autumn-lighting-trends,50
wall-light-any-room-sales,49
conduit-3-4-inch-system,49
top-selling-lighting-product,48
green-day-lighting,48
pipe-lighting-accessories,48
cafe-restaurants,47
save-big-for-a-limited-time-up-to-50-off,47
power-converter,46
modern-lighting-fixtures,45
hot-selling-products,43
lampshade-easy-to-fit,43
ceiling-light-living-room,43
low-wattage-bulbs,43
wall-lamp-collection-at-affordable-prices,42
easy-fit-lamp-shades-cages,42
dimmable-led-bulbs,41
ip67-waterproof-led-drivers,41
hemp-rope-lighting,41
wall-lights-for-living-room-lights,40
e27-b22-globe-bulb,39
lamp-spare-parts-sales,39
new-product-20,39
2core-twisted,38
conduit-accessories,38
plug-in-hanging-light,38
retro-vintage-pendant-collection,37
buy-one-get-second-20-off,37
decorative-lights,37
plugin-lighting,37
top-selling-bulbs,36
ip-20-transformers,36
3core-round,36
3core-twisted,35
hemp-rope-lights-for-cafe-restaurant,35
pipe-lighting,35
led-bulbs-off,34
living-or-dining-room-lighting,34
ceiling-rose-brackets,33
hemp-lights-for-kitchen-lights,32
ceiling-pipe-lights,32
easy-fit-wire-cage,32
3-head-rectangle-or-round-ceiling-rose,32
2026-mega-lighting-sale,32
holder-1,32
selected-2025,32
weekly-promotion,31
buy-one-get-one-free-1-1,31
new-led-bulb,31
clocks,31
energy-efficient-lighting,31
waterproof-transformers,30
black-friday-50-off,30
bathroom-accessories,30
fast-slow,29
top-trending-this-week,29
drivers-module,29
flash-sales-24,29
config-sp-lamp-shade,29
halloween-specials-2025,29
15-off-1,28
2core-round,28
ceiling-rose-fittings,28
wire-cage,28
table-lamps,28
three-outlet-lighting,28
flash-sale-up-to-70-off,27
flash-sale-up-to-70-off-1,27
