product_id,handle,title,status,vendor,collections,variant_ids,skus
4414314971232,ceiling-rose-pendant-light-lamp-fitting,LEDSone Industrial Ratio Green Brass E27 PVC Ceiling Rose Pendant Light~3382,ACTIVE,LEDSone,recommended-products-seguno|new-arrivals|new-collection|catalog_others|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|avada-email-marketing-best-sellers|all_products|under-25|all-products-1|best-deals|modern-home-lights|ninc-products|top-products|for-shopify-performance-tracking|ph-products|commercial-lighting-for-restaurants-uk,31487692308576,CRFF100GB+PHUP1PBRGB
4414315135072,threaded-lamp-bulb-holder-vintage,LEDSone Industrial Vintage Ration Threaded Lamp Bulb E27 Holder Vintage~3381,ACTIVE,LEDSone,all-products-1|best-deals|modern-home-lights|for-shopify-performance-tracking,31487692603488,CRFF108YB+PHNH1GDRYB
4414315429984,guard-light-wire-ceiling-industrial-black-chandelier-pendant,Lamp Guard Wire Cage Pendant Light Ceiling Hanging Pendant ~3380,ACTIVE,LEDSone UK Ltd,recommended-products-seguno|pendant-lights|new-arrivals|new-collection|sale|catalog_others|capture-15-offer-if-you-order-more-than-50-quantity|vintage-lights-for-kitchen-lights|globofilter-best-selling-products-index|all-products|avada-email-marketing-best-sellers|fast-slow|best-offers-products|all_products|under-25|all-products-1|pendant-lightss|best-deals|weekly-promotion|modern-home-lights|modern-energy-efficient-pendant-ceiling-wall-lighting-uk|top-products|for-shopify-performance-tracking|ph-products|commercial-lighting-for-restaurants-uk,31487694372960,CRSF100BM+WCBC1BM
4414315692128,modern-copper-ceiling-light-pendant-lamp-shade,Cafeteria 2m Long Copper Hanging Light Metal Sahded ~3379,ACTIVE,LEDSone,recommended-products-seguno|pendant-lights|new-arrivals|new-collection|sale|catalog_others|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|easy-fit-lamp-shades|avada-email-marketing-best-sellers|best-offers-products|all_products|under-25|all-products-1|best-deals|modern-shine-lighting|luxury-lighting-collection|hot-picks|modern-home-lights|living-room-lighting|shining-radiance|modern-energy-efficient-pendant-ceiling-wall-lighting-uk|top-products|for-shopify-performance-tracking,31487695716448,PHSF2BRTCO+SCRN70BM+LSFT220CO
4414315954272,retro-industrial-table-lamp-rustic-red-water-pipe-lamps-e27-loft-light,Water Pipe Steampunk Table Lamp with Switch~3378,ACTIVE,LEDSone,recommended-products-seguno|new-arrivals|new-collection|catalog_lampshades|globofilter-best-selling-products-index|all-products|avada-email-marketing-best-sellers|all_products|under-25|all-products-1|luxury-lighting-collection|hot-picks|modern-home-lights|shining-radiance|top-products|lights-parts|for-shopify-performance-tracking|commercial-lighting-for-restaurants-uk,31487695978592,PLTERR
4414316183648,e27-4w-g80-dimmable-led-vintage-filament-classic-light-bulb,Vintage LED Bulb E27 G80 Dimmable 4W Globe Light Warm White ~3377,ACTIVE,LEDSone,recommended-products-seguno|vintage-bulbs|led-bulbs|new-arrivals|e27-base-bulb|new-collection|sale|catalog_others|capture-15-offer-if-you-order-more-than-50-quantity|e27-led-bulbs|dimmable-led-bulbs|globofilter-best-selling-products-index|special-off|fast-moving-product|led-bulbs-off|all-products|buy-one-get-one-free-1-1|bulbs|new-year-sale|avada-email-marketing-best-sellers|warm-white-vintage-bulbs|top-sell-2021|50-orders|top-selling-bulbs|best-offers-products|best-products-24-s|all_products|bsell-06|under-25|all-products-1|top-picks|e27-b22-globe-bulb|top-products|for-shopify-performance-tracking,44687363145978|44687363178746|44687363211514|44687363244282|44687363277050|44687363309818,LDMG80E274|LDMG80E2742PK|LDMG80E2743PK|LDMG80E2745PK|LDMG80E2746PK|LDMG80E274APK
4414316380256,industrial-universal-switching-power-supply-12v-120w-10a-aluminium,Industrial 12V 10A Switching Power Supply 120W Triple Output IP20~3376,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-12v-transformer|new-arrivals|new-collection|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|top-selling-transformers|best-offers-products|all-transformers|all_products|transfo|power-supply|under-25|all-products-1|top-picks|modern-lighting-fixtures|stylish-lighting-fixtures|top-products|for-shopify-performance-tracking|summer-bank-holiday|ip20-led-power-supplies|ip20-led-power-supplies-1|lighting-accessories|led-drivers-led-modules,31487698305120,12IP20120
4414316675168,dc12v-ip67-120w-10a-waterproof-led-driver-power-supply-transformer,IP67 DC12V 120W LED Driver Power Supply Transformer~3375,ACTIVE,LEDSone,bselltm|power-supply|all-products-1|best-deals|modern-home-lights|power-converter|for-shopify-performance-tracking|ip67-waterproof-led-drivers|led-drivers-led-modules,31487699124320,12IP67120
4417253703776,waterproof-dc12v-ip67-80w-led-driver-power-supply-transformer,IP67 Waterproof 12V 80W LED Driver | Power Supply ~ 3374,ACTIVE,LEDSone,recommended-products-seguno|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|top-selling-transformers|best-offers-products|all-transformers|best-products-24-s|bselltm|led-modules-transformers|all_products|bsell-06|power-supply|under-25|all-products-1|best-deals|glow-mode-on-1|modern-classic-home|top-products|for-shopify-performance-tracking|premium-lighting|ip67-waterproof-led-drivers|best-sellers|top-sellers-best-industrial-lighting|industrial-lighting|energy-efficient-lighting-collection-modern|led-drivers-led-modules,31497522872416,12IP6780
4417253769312,waterproof-dc12v-ip67-100w-8-33a-led-driver-power-supply-transformer,IP67 Waterproof DC 12V 100W LED Driver LED Power Supply Transformer ~3373,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|top-sell-2021|best-offers-products|all-transformers|led-modules-transformers|all_products|bsell-06|power-supply|under-25|all-products-1|most-popular-trending-products|top-picks|best-deals|hot-picks|modern-home-lights|home-lighting-collection|designer-lighting-collection|ninc-products|top-products|lights-parts|power-converter|for-shopify-performance-tracking|ip67-waterproof-led-drivers|led-drivers-led-modules,31497522937952,12IP67100
