product_id,variant_id,net_sales,net_items_sold,orders
4417258848352,31497531457632,820.83,50,1
15071739019650,55586679718274,774.69,63,1
4417255506016,31497524838496,632.62,21,2
14874199490946,54859092492674,631.78,104,9
4417278574688,54994531746178,613.42,308,6
15260815720834,56392171684226,518.84,22,8
7977120923898,44244155859194,465.07,40,33
15086824259970,55635057148290,441.89,12,3
15145639412098,55822301135234,419.89,9,6
7630664532218,42832272556282,398.64,20,3
8073391374586,44745768567034,395.12,15,5
15141042553218,55794542182786,375.37,7,1
15022982594946,55362930377090,363.45,44,20
15145639412098,55822301102466,361.99,6,4
7105746796705,46800248373498,355.17,10,9
14935131783554,55056431874434,353.88,9,9
6898632065185,55054353727874,337.17,37,12
14872946311554,54855777976706,334.25,21,2
7982911619322,44591084175610,328.91,12,7
15270960234882,56371919716738,327.42,5,4
8011075125498,46813454139642,321.68,20,20
15086824259970,55635057115522,309.32,9,4
7855951184122,43721073033466,301.98,24,10
4417265696864,43208437498106,277.27,8,4
7977117712634,44244143440122,269.78,7,4
15275639636354,56394585604482,263.7,4,2
15086824259970,55635057344898,262.25,9,5
15086824259970,55635057049986,257.75,7,5
7819052286202,43578288832762,255.35,8,7
6024708292769,44625170202874,252.91,27,4
8011593154810,44521037103354,246.66,1,1
7982927741178,44271707422970,244.52,6,2
8173344653562,45181464346874,237.9,13,1
7800387404026,43511215325434,235.81,49,16
7645788274938,42890966335738,234.43,6,5
8011579851002,45948714647802,232.16,1,1
15023091188098,55363227124098,230.94,7,5
14879664472450,54873813123458,228.95,25,4
15260060582274,56313017532802,227.58,9,9
6852374102177,40347036188833,216.97,33,7
8009254797562,44722803802362,212.22,14,1
0,0,209.77,17,8
4489762373728,56665172279682,205.75,14,2
7977120956666,44244155990266,203.5,7,5
4552643903584,44681435480314,202.38,5,3
15263750619522,56330580492674,200.41,33,22
8073532997882,44746178822394,198.66,8,6
14875756790146,54863101329794,196.02,38,2
4417266417760,45544796782842,186.08,7,5
15193556222338,56024370446722,185.92,14,3
4417254850656,31497524117600,185.89,24,4
8011579851002,44520921891066,182.24,1,1
15097952764290,55680545522050,181.37,17,10
7982927806714,44271711944954,180.45,3,1
15292042903938,56458242490754,179.18,14,8
15086824259970,55635057082754,176.77,5,3
8060792013050,44712501051642,176.58,10,1
7105746796705,41164671418529,173.51,5,5
14846726799746,54807127228802,173.04,26,4
8161314111738,55116699402626,170.11,9,6
4417278574688,54994531778946,167.82,21,2
14877951099266,54868256915842,166.59,31,11
7852431048954,43702686449914,164.87,15,1
15279888728450,56413669818754,163.73,2,1
7053693649057,41040744054945,161.64,2,2
4468584087648,31697378902112,159.93,8,3
15112966406530,55734510354818,157.04,4,4
14961233101186,55121060200834,155.75,10,1
14881058324866,54880066797954,152.37,15,2
14929097884034,55032168546690,151.56,13,3
15145639412098,56724614709634,150.22,3,2
15217248764290,56120957534594,146.41,6,5
4495471706208,31790493106272,143.89,13,6
4417263632480,31497538601056,140.9,53,12
6986409312417,40838936166561,139.98,24,8
7053693649057,41040744087713,139.32,2,3
4417265631328,31497542795360,139.02,38,11
7977105424634,44244094189818,138.64,4,3
15334428311938,56649544958338,137.96,7,2
15069167419778,55574725919106,137.92,9,2
4417258356832,31497530769504,137.31,22,4
8565963849978,46433110130938,136.39,13,1
5360689283233,34966540058785,136.2,9,4
15270801015170,56371602129282,135.57,4,1
5784602575009,46062197113082,134.85,7,5
4613822152800,41949513548026,134.47,33,1
15071739019650,55586679751042,134.38,11,1
7455207424250,44579953213690,133.68,13,2
7986292818170,44592560111866,131.74,102,5
8070720520442,44737648263418,129.82,2,2
8172508381434,45177772900602,129.19,16,3
15260060582274,56313017598338,127.84,5,4
15319604593026,56569753764226,127.68,7,7
15260895773058,56318363107714,127.45,6,1
8053225062650,46666452664570,127.44,13,3
8005840044282,44470916219130,127.27,4,2
8014189920506,55536852173186,127.19,7,2
4417277460576,54994512314754,126.58,10,3
8100999332090,44844555960570,125.73,3,2
7989043036410,44299203739898,125.73,4,1
7993079857402,44325227692282,124.92,10,2
14900890435970,54951508836738,123.67,10,1
8000785416442,44542984945914,123.61,7,3
15145639412098,56724614676866,120.98,2,2
15023091188098,55363227091330,120.86,4,2
4414316183648,44687363309818,120.36,5,3
7977115713786,44244130955514,119.6,9,6
7469127303418,42111192891642,119.53,19,7
6024708718753,44624473948410,119.2,16,3
14879664472450,54873813156226,119.06,13,1
15112966406530,55734510322050,118.08,4,2
14935224091010,55056537125250,117.29,4,4
6001950916769,37471681413281,115.49,7,3
14907263746434,54970753155458,114.84,8,3
14874198802818,54859087249794,114.67,10,1
8106563043578,44858605535482,113.92,9,1
15075287925122,55599866773890,111.99,6,3
7994905460986,44345517965562,111.69,13,3
8633541427450,46704616308986,110.67,24,6
15260815720834,56318049550722,110.01,5,2
14907263746434,54970753483138,108.62,7,2
14821925781890,53387364991362,107.79,103,5
4417275199584,44035220046074,107.56,4,3
15293716693378,56465071374722,107.49,5,2
14872946311554,54855777878402,107.33,8,4
14934429958530,55054209384834,106.8,8,1
14968265769346,55146813358466,106.5,2,1
4417266417760,46340928405754,106.32,8,8
14935131783554,55056431841666,104.97,3,3
14876294447490,54864089907586,104.71,36,11
14937880330626,55063689527682,104.13,4,2
7977119711482,44244147142906,104.12,4,2
7800179753210,43510503899386,101.5,25,7
15055817638274,55526351044994,101.04,4,3
15090942017922,55649592869250,100.32,2,1
7694649098490,44524602032378,99,8,1
15057932550530,55533417464194,98.75,3,2
7673412124922,42980649599226,98.3,5,2
7993079857402,44325227626746,97.99,11,3
8011831148794,54992725606786,97.46,6,4
6852374102177,40347036221601,97.2,19,10
14877938221442,54868161003906,97.04,5,1
14878296572290,54869212004738,95.47,7,2
7649552269562,42904836505850,95.46,6,1
4417275199584,44035220013306,95.13,7,7
6734956363937,39923680673953,94.95,6,1
15101501800834,55691902583170,94.67,7,1
4417265893472,44035050602746,94.63,10,9
4599649140832,42731028054266,94.63,3,3
6898632065185,55054353662338,93.61,10,8
15069278798210,55575461429634,93.2,7,3
15270947815810,56371852312962,91.57,3,2
15292172337538,56458588651906,89.36,5,2
8145369989370,45040758587642,89.24,18,6
8103204356346,44849079812346,89.13,2,2
7465803088122,42102980051194,89.11,23,10
8172508381434,45177907871994,88.81,11,5
8013922271482,44534974873850,88.49,41,2
7592071201018,42647910318330,88.33,2,1
14877951099266,54868256784770,88.07,14,8
7998887231738,54979763962242,87.45,6,2
15322580779394,56580507042178,87.28,4,4
6024708685985,44625080025338,86.93,14,8
14971719352706,55155312722306,86.67,13,2
5334385819809,34865736220833,86.46,6,4
6866848448673,40387702325409,86.06,23,1
15253041283458,56280148246914,85.36,6,2
8649884762362,46784256934138,85.19,16,5
7661573800186,44525986447610,85.16,11,1
8645782274298,55947654857090,83.95,6,2
15326866997634,56597779677570,83.87,4,2
4613822152800,41949513515258,83.8,24,5
6842694795425,40310437675169,83.3,5,3
7064905908385,54977974567298,82.86,5,4
4448092749920,44546930409722,82.13,22,2
15263751340418,56329646440834,81.53,8,2
14958855913858,55112543895938,81.47,3,1
6741957705889,39960918130849,81.02,7,3
7986319327482,45379922952442,81.01,25,12
4417265893472,44035080749306,81,4,4
14877938221442,54868160971138,80.72,4,3
4417258324064,31497530507360,80.3,23,3
6810064847009,55649641070978,80.12,5,3
8107412750586,44859977859322,79.91,1,1
15022982594946,55362930409858,79.64,11,10
6798979760289,41949504635130,78.62,15,1
15264857260418,56335483011458,78.37,2,2
15145639412098,55822301168002,77.98,2,2
4417265696864,43208437367034,77.94,6,5
4417257996384,31497529065568,77.89,13,3
6885550129313,41949500309754,77.68,4,4
14877938221442,54868160938370,77.64,4,2
8000777748730,44531823706362,77.3,4,1
14886272434562,55219110707586,77.29,4,2
7865865437434,43763710034170,77.17,2,1
15026397249922,55377032380802,76.67,8,1
15269429182850,56360697069954,76.29,4,3
7834279215354,43635218841850,76.22,31,8
15269016469890,56359269826946,76,6,1
14967008002434,55141309088130,75.87,4,1
15112966406530,55734510420354,75.84,2,2
7643968241914,42882793472250,75.82,2,1
5244462203041,44525512294650,75.71,6,1
4524554584160,31869769547872,75.71,14,3
6883367977121,40450734096545,74.44,4,3
14934484713858,55054387511682,74.39,4,3
7982927806714,44271711977722,74.32,1,1
4612919066720,32221329981536,74.25,10,1
5500547432609,35544683085985,73.95,6,2
15069349151106,55576282431874,73.45,5,1
4537416908896,46748083159290,73.38,14,4
6885550129313,41949500276986,73.36,4,3
15105663238530,55708201714050,73.26,1,1
15208524513666,56081314087298,72.96,5,1
7652493328634,42914014724346,72.8,7,6
5630655234209,36037638258849,72.47,13,3
8160598720762,45122626814202,71.67,4,1
15279239856514,56411048509826,71.62,5,3
6054233637025,37659520073889,71.55,6,1
15228000993666,56170541941122,71.54,6,3
7977117679866,44244143341818,71.37,3,3
14875761344898,54863052276098,71.25,30,3
6852374102177,40347036156065,71.11,8,5
,,71.04,0,0
4495471542368,31790489370720,70.9,6,4
7651376988410,42910419517690,70.79,5,1
5433469141153,35265272152225,70.53,16,8
6052094935201,44526437171450,70.37,5,1
8010056892666,44513200701690,70,2,2
7994905460986,44345518227706,69.97,3,2
4417255538784,31497524871264,69.97,3,2
4417278574688,54994531811714,69.95,5,4
14893024969090,56121280725378,69.88,8,3
15070329471362,55580836790658,69.83,20,1
15160335073666,55876821221762,69.81,21,6
15183365833090,55982267629954,69.72,3,3
8073532997882,44746178789626,69.51,3,3
15260848095618,56318107877762,69.48,2,2
6885550129313,41949500244218,69.02,3,4
14899845497218,54947956949378,68.97,4,1
4417259470944,31497532342368,68.71,5,1
4417262780512,54868104249730,68.06,21,11
8152305729786,45082682097914,67.98,3,2
7986319327482,45379922854138,67.77,14,7
15171167158658,55932068168066,67.43,4,1
7585585332474,42621052584186,67.37,21,4
4552643903584,37592769233057,67.32,2,1
6869509832865,40398196768929,67.3,3,2
4417257078880,31497527230560,67.26,3,3
4599649140832,32165531254880,66.98,2,1
7645788274938,42890966302970,66.98,2,3
7998902763770,44387597517050,66.95,6,1
4460364890208,31662659797088,66.58,10,1
7501640532218,42239059362042,66.57,1,1
14930544394626,55036010496386,66.21,5,1
14907263746434,54970753515906,65.85,4,2
4417266417760,45544796750074,65.75,26,15
8152219386106,45081741164794,65.74,10,3
4417292828768,54976086245762,65,4,2
4417275592800,31497558229088,65,29,5
8172508381434,45177773719802,64.59,8,4
7982911619322,44591084306682,64.35,2,1
6765736722593,40060225585313,62.9,12,2
15172186145154,55936193462658,62.83,2,1
15023091188098,55363227156866,62.78,2,1
15026397249922,55377032348034,62.29,7,3
4573903454304,32056261640288,62.25,15,1
4417274773600,31497557213280,62.25,15,2
8106514088186,44858367574266,61.95,2,1
8103204356346,44849079845114,61.5,2,1
15299488317826,56501947597186,61.33,2,1
8015418720506,44546640052474,61.32,2,2
15086824259970,55635057213826,60.98,2,1
15222437544322,56146137678210,60.68,1,3
5971602210977,37366105538721,60.6,3,1
8010056892666,44513201094906,60.51,3,3
7651373940986,42910404903162,60.37,5,3
5313904246945,34779830223009,59.97,4,1
5998487011489,37458904449185,59.84,2,2
14961197023618,55120793600386,59.82,2,1
8043531632890,44664444748026,59.65,5,3
6594006810785,39412656341153,59.63,4,1
7738421936378,43233919729914,59.28,8,7
15057885004162,55533358121346,59.17,1,1
6655620055201,39599173927073,58.15,2,1
15022982594946,55362930442626,57.93,8,2
8010954113274,54971408384386,57.75,29,3
8009522643194,44508260630778,57.74,1,1
15035760902530,55435160846722,57.67,1,1
5334385819809,34865736253601,57.63,4,1
4448092749920,44546930245882,56.91,14,4
4417265696864,43208437268730,56.84,7,7
4609306296416,32205465845856,56.67,3,1
7560180334842,44525797998842,56.64,4,2
7501640532218,42239059230970,56.57,1,1
7998922031354,44387930865914,56.55,3,2
8172508381434,55121815372162,56.52,7,3
14929097884034,55032168579458,56.03,6,2
4417285554272,44528806723834,55.39,23,2
7519284691194,42332077719802,54.9,12,1
7519284691194,42332078014714,54.9,12,3
15154364776834,55847766196610,54.84,2,2
7986329092346,55237470814594,54.73,33,7
7592071168250,42647910252794,54.67,1,1
14925001392514,55015982989698,54.53,6,2
6022421610657,37546724294817,54.45,6,2
14966296576386,55138952741250,54.44,6,2
7455208014074,42071691460858,54,6,1
8006154682618,44476577251578,53.68,4,4
5343065211041,43143194607866,53.67,4,1
14872946311554,54855778173314,53.66,4,2
4417265696864,43208437235962,53.64,9,9
8073391374586,44745768534266,53.32,2,2
7977115615482,44687446769914,53.3,5,5
8163022471418,45132863078650,53.05,3,1
4417265893472,44035050635514,53.04,4,4
8010522525946,44515372466426,52.96,4,2
4417275199584,44035219947770,52.63,5,5
4417275199584,44035219882234,52.36,18,12
