Keyword;Search Volume;CPC;Competition;Number of Results;Trends
ceiling rose;14800;0.62;1;205;0.54,0.54,0.54,0.66,0.66,0.66,0.81,0.81,0.66,0.81,0.66,0.66
ceiling rose pendant light;90;0.35;1;0;0.50,0.50,0.50,0.35,0.64,0.78,0.78,1.00,0.50,0.78,0.78,1.00
ceiling spot light;390;0.34;1;200;0.11,0.13,0.11,0.20,0.13,0.31,0.31,0.37,0.11,0.16,0.13,0.13
ceramic base table lamp;210;0.43;1;16900000;0.29,0.22,0.14,0.35,0.43,0.43,0.54,0.54,0.54,0.66,0.54,0.43
ceramic bedside table lamp;10;0.35;1;0;0.11,0.00,0.00,0.11,0.22,0.22,0.22,0.11,0.00,0.22,0.00,0.11
ceramic bulb holder;140;0.31;1;186;0.43,0.28,0.28,0.34,0.43,0.43,0.53,0.53,0.43,0.43,0.34,0.34
ceramic heat bulb holder;30;0.28;1;0;0.09,0.09,0.09,0.09,0.09,0.09,0.42,0.19,0.09,0.09,0.09,0.14
ceramic light bulb holder;20;0;1;0;0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40
ceramic porcelain lamp holder;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
chandelier and pendant light;0;0.44;1;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
chandelier style ceiling light;40;0.29;1;0;0.14,0.07,0.00,0.21,0.14,0.28,0.35,0.50,0.35,0.35,1.00,0.28
christmas gift bag bundle;0;0;1;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00
chrome ceiling rose;260;0.33;1;9880000;0.16,0.16,0.20,0.24,0.24,0.24,0.24,0.20,0.16,0.20,0.16,0.20
chrome ceiling spotlight;0;0.33;1;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
chrome crystal chandelier;20;0.51;1;0;0.09,0.09,0.09,0.09,0.14,0.09,0.09,0.09,0.09,0.09,0.09,0.09
chrome pendant ceiling light;40;0.29;1;0;0.21,0.14,0.78,0.21,0.21,0.21,0.21,0.14,0.14,0.14,1.00,0.14
chrome pendant chandelier;20;0;1;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
clamp for cable;880;0.63;1;186;0.76,0.76,1.00,0.05,0.55,0.76,0.45,0.67,0.36,0.45,0.45,0.76
clock with roman numerals;590;0.25;1;192;0.13,0.16,0.16,0.20,0.16,0.24,0.54,0.36,0.13,0.36,0.20,0.36
clocks for living room;480;0.18;1;197;0.48,0.39,0.39,0.59,0.59,0.88,0.72,0.48,0.48,0.48,0.39,0.39
cloth covered electrical cord;20;0.47;1;0;0.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
cob chip light;10;0;1;0;0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.66,0.66,0.00,0.00,0.00
coffee shade;20;0;0.16;0;0.50,0.50,0.50,0.25,0.25,0.50,0.50,0.50,0.50,0.50,0.25,0.25
collar ring lampshade;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
compact clothes drying rack;30;0.29;1;0;0.18,0.27,0.18,0.27,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18
conduit lighting;260;0.47;1;194;0.43,0.54,0.54,0.66,0.54,0.81,0.54,0.66,0.43,0.54,0.43,0.54
conduit pendant light;20;0;0.5;0;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
cone lamp shade;140;0.3;1;179;0.42,0.26,0.34,0.42,0.65,0.65,0.65,0.65,0.53,1.00,0.53,0.53
cone light shade;320;0.31;1;177;0.54,0.54,0.29,0.19,0.12,0.12,0.29,0.29,0.36,1.00,0.36,0.36
cone pendant shade;10;0.22;1;0;0.00,0.09,0.00,0.09,0.09,0.09,0.09,0.09,0.00,0.09,0.09,0.00
